,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore
1,73729,7,15,1.023395986,-2.189758852
2,81920,2,1,0.02255557,-1
3,106499,9,36,0.036847997,-1
4,106498,9,36,0.036847997,-1
5,106501,9,36,0.036847997,-1
6,106502,9,36,0.036847997,-1
7,106505,9,36,0.036847997,-1
8,106507,9,36,0.036847997,-1
9,106506,9,36,0.036847997,-1
10,73741,3,3,0.117283657,-1
11,114703,2,1,0.02255557,-1
12,73743,3,3,0.117283657,-1
13,106510,7,21,0.338873066,-1
14,114705,2,1,0.02255557,-1
15,81937,9,36,0.036847997,-1
16,106513,7,21,0.338873066,-1
17,106512,6,13,0.287371965,-64369367.74
18,106515,7,21,0.338873066,-1
19,114707,2,1,0.02255557,-1
20,106514,7,21,0.338873066,-1
21,114706,2,1,0.02255557,-1
22,81941,9,36,0.036847997,-1
23,114709,2,1,0.02255557,-1
24,106517,7,21,0.338873066,-1
25,106516,7,21,0.338873066,-1
26,98327,8,28,0.253671637,-1
27,114710,2,1,0.02255557,-1
28,98328,2,1,0.02255557,-1
29,106523,2,1,0.02255557,-1
30,90139,2,1,0.02255557,-1
31,98330,8,28,0.253671637,-1
32,98333,2,1,0.02255557,-1
33,98335,8,28,0.253671637,-1
34,73758,3,3,0.117283657,-1
35,98336,8,28,0.253671637,-1
36,98339,8,28,0.253671637,-1
37,98338,8,28,0.253671637,-1
38,98341,8,28,0.253671637,-1
39,73765,2,1,0.02255557,-1
40,114731,2,1,0.02255557,-1
41,90157,2,1,0.02255557,-1
42,73775,2,1,0.02255557,-1
43,114734,4,3,0.936049148,-1
44,98367,2,1,0.02255557,-1
45,114751,4,6,0.244142754,-1
46,98366,3,3,0.117283657,-1
47,114750,4,6,0.244142754,-1
48,114752,4,6,0.244142754,-1
49,98371,2,1,0.02255557,-1
50,114755,2,1,0.02255557,-1
51,114754,2,1,0.02255557,-1
52,81989,2,1,0.02255557,-1
53,106564,6,15,0.357563629,-1
54,81993,2,1,0.02255557,-1
55,81995,4,6,0.244142754,-1
56,90187,2,1,0.02255557,-1
57,81994,2,1,0.02255557,-1
58,106573,2,1,0.02255557,-1
59,81996,4,6,0.244142754,-1
60,73804,2,1,0.02255557,-1
61,106574,2,1,0.02255557,-1
62,98385,2,1,0.02255557,-1
63,73809,2,1,0.02255557,-1
64,98389,2,1,0.02255557,-1
65,73814,2,1,0.02255557,-1
66,73819,2,1,0.02255557,-1
67,73820,2,1,0.02255557,-1
68,98401,4,6,0.244142754,-1
69,106595,2,1,0.02255557,-1
70,106597,2,1,0.02255557,-1
71,106596,2,1,0.02255557,-1
72,106598,2,1,0.02255557,-1
73,73830,4,3,0.936049148,-1
74,73832,2,1,0.02255557,-1
75,73834,2,1,0.02255557,-1
76,82029,2,1,0.02255557,-1
77,90221,4,6,0.244142754,-1
78,82028,2,1,0.02255557,-1
79,90224,2,1,0.02255557,-1
80,98419,2,1,0.02255557,-1
81,90226,2,1,0.02255557,-1
82,98418,2,1,0.02255557,-1
83,98420,4,6,0.244142754,-1
84,114804,3,2,0.32138168,-1
85,98423,3,3,0.117283657,-1
86,98426,2,1,0.02255557,-1
87,106620,2,1,0.02255557,-1
88,98431,2,1,0.02255557,-1
89,82046,11,55,0.572481118,-1
90,82049,11,55,0.572481118,-1
91,82048,2,1,0.02255557,-1
92,82050,3,2,0.32138168,-1
93,98434,2,1,0.02255557,-1
94,98437,2,1,0.02255557,-1
95,73863,3,3,0.117283657,-1
96,114823,2,1,0.02255557,-1
97,114822,2,1,0.02255557,-1
98,114825,2,1,0.02255557,-1
99,82056,4,6,0.244142754,-1
100,82058,4,6,0.244142754,-1
101,82061,2,1,0.02255557,-1
102,82065,4,6,0.244142754,-1
103,90257,2,1,0.02255557,-1
104,98462,6,15,0.357563629,-1
105,82081,2,1,0.02255557,-1
106,98475,2,1,0.02255557,-1
107,98476,2,1,0.02255557,-1
108,82095,2,1,0.02255557,-1
109,106670,3,3,0.117283657,-1
110,114862,2,1,0.02255557,-1
111,106673,3,3,0.117283657,-1
112,82097,4,6,0.244142754,-1
113,106672,3,3,0.117283657,-1
114,82098,12,66,0.797138539,-1
115,114873,2,1,0.02255557,-1
116,114872,2,1,0.02255557,-1
117,90299,2,1,0.02255557,-1
118,114874,2,1,0.02255557,-1
119,98493,6,15,0.357563629,-1
120,114877,2,1,0.02255557,-1
121,90300,2,1,0.02255557,-1
122,114876,2,1,0.02255557,-1
123,114879,2,1,0.02255557,-1
124,98494,6,15,0.357563629,-1
125,82112,2,1,0.02255557,-1
126,73923,3,3,0.117283657,-1
127,98498,6,15,0.357563629,-1
128,73924,3,3,0.117283657,-1
129,82118,3,3,0.117283657,-1
130,90310,2,1,0.02255557,-1
131,98505,6,15,0.357563629,-1
132,73929,3,3,0.117283657,-1
133,106699,6,15,0.357563629,-1
134,114893,4,6,0.244142754,-1
135,106701,6,15,0.357563629,-1
136,106700,6,15,0.357563629,-1
137,114895,4,6,0.244142754,-1
138,106702,6,15,0.357563629,-1
139,114897,4,6,0.244142754,-1
140,106707,6,15,0.357563629,-1
141,106709,6,15,0.357563629,-1
142,73940,2,1,0.02255557,-1
143,82132,2,1,0.02255557,-1
144,106708,2,1,0.02255557,-1
145,98519,2,1,0.02255557,-1
146,106710,6,15,0.357563629,-1
147,106713,6,15,0.357563629,-1
148,98521,2,1,0.02255557,-1
149,106712,6,15,0.357563629,-1
150,82136,2,1,0.02255557,-1
151,73947,2,1,0.02255557,-1
152,106714,2,1,0.02255557,-1
153,82140,2,1,0.02255557,-1
154,106716,3,3,0.117283657,-1
155,82144,2,1,0.02255557,-1
156,82147,2,1,0.02255557,-1
157,114915,5,10,0.325174566,-1
158,106722,6,15,0.357563629,-1
159,114917,5,10,0.325174566,-1
160,82149,2,1,0.02255557,-1
161,114916,5,10,0.325174566,-1
162,82152,3,3,0.117283657,-1
163,82158,2,1,0.02255557,-1
164,73971,7,21,0.338873066,-1
165,106739,2,1,0.02255557,-1
166,82179,2,1,0.02255557,-1
167,82178,2,1,0.02255557,-1
168,114955,3,3,0.117283657,-1
169,106763,3,3,0.117283657,-1
170,90381,2,1,0.02255557,-1
171,98573,4,6,0.244142754,-1
172,114956,3,3,0.117283657,-1
173,82188,13,78,0.995155897,-1
174,82190,13,78,0.995155897,-1
175,82192,2,1,0.02255557,-1
176,90389,4,6,0.244142754,-1
177,74007,2,1,0.02255557,-1
178,90390,4,6,0.244142754,-1
179,82205,13,78,0.995155897,-1
180,98589,4,6,0.244142754,-1
181,82204,13,78,0.995155897,-1
182,98588,4,6,0.244142754,-1
183,82207,13,78,0.995155897,-1
184,74015,2,1,0.02255557,-1
185,98590,4,6,0.244142754,-1
186,90398,3,3,0.117283657,-1
187,90403,8,28,0.253671637,-1
188,82210,13,78,0.995155897,-1
189,90404,3,3,0.117283657,-1
190,114985,17,136,1.640772699,-1
191,82216,3,3,0.117283657,-1
192,114984,17,136,1.640772699,-1
193,90411,8,28,0.253671637,-1
194,114987,2,1,0.02255557,-1
195,90410,8,28,0.253671637,-1
196,114986,17,136,1.640772699,-1
197,74029,2,1,0.02255557,-1
198,90413,8,28,0.253671637,-1
199,90412,8,28,0.253671637,-1
200,114988,17,136,1.640772699,-1
201,90415,8,28,0.253671637,-1
202,74030,2,1,0.02255557,-1
203,90414,8,28,0.253671637,-1
204,90417,4,6,0.244142754,-1
205,90416,8,28,0.253671637,-1
206,114992,2,1,0.02255557,-1
207,90419,2,1,0.02255557,-1
208,114995,17,136,1.640772699,-1
209,82226,3,3,0.117283657,-1
210,90421,2,1,0.02255557,-1
211,114997,17,136,1.640772699,-1
212,114998,17,136,1.640772699,-1
213,82235,5,10,0.325174566,-1
214,98618,3,3,0.117283657,-1
215,90426,4,6,0.244142754,-1
216,115002,17,136,1.640772699,-1
217,115005,17,136,1.640772699,-1
218,82236,3,3,0.117283657,-1
219,115004,17,136,1.640772699,-1
220,90431,3,3,0.117283657,-1
221,115007,17,136,1.640772699,-1
222,98622,2,1,0.02255557,-1
223,115006,17,136,1.640772699,-1
224,115009,17,136,1.640772699,-1
225,90432,3,3,0.117283657,-1
226,115008,17,136,1.640772699,-1
227,82243,3,3,0.117283657,-1
228,98626,4,6,0.244142754,-1
229,115010,17,136,1.640772699,-1
230,90439,13,78,0.995155897,-1
231,106822,4,6,0.244142754,-1
232,115017,2,1,0.02255557,-1
233,115016,2,1,0.02255557,-1
234,90440,13,78,0.995155897,-1
235,90442,13,78,0.995155897,-1
236,98634,2,1,0.02255557,-1
237,98636,2,1,0.02255557,-1
238,98640,3,3,0.117283657,-1
239,106835,4,6,0.244142754,-1
240,106837,4,6,0.244142754,-1
241,90453,4,6,0.244142754,-1
242,106836,4,6,0.244142754,-1
243,98647,3,3,0.117283657,-1
244,82263,2,1,0.02255557,-1
245,90455,5,8,0.348007519,-1
246,106838,4,6,0.244142754,-1
247,98646,3,3,0.117283657,-1
248,82264,2,1,0.02255557,-1
249,90456,2,1,0.02255557,-1
250,106851,2,1,0.02255557,-1
251,98661,2,1,0.02255557,-1
