,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
547,119821,2,1,0.054004865,-1,
548,97297,5,10,0.439456321,-1,
549,128019,3,3,0.102138795,-1,
550,117778,7,21,0.665156882,-1,
551,82964,4,6,0.282164708,-1,
552,93204,2,1,0.054004865,-1,
553,91158,3,3,0.102138795,-1,
554,82969,4,6,0.282164708,-1,
555,119833,2,1,0.054004865,-1,
556,119835,2,1,0.054004865,-1,
557,119837,3,3,0.102138795,-1,
558,117798,7,18,0.0883833,-93924384.4,
559,117801,2,1,0.054004865,-1,
560,119849,3,3,0.102138795,-1,
561,117800,2,1,0.054004865,-1,
562,113704,6,15,0.56610178,-1,
563,117804,3,3,0.102138795,-1,
564,97327,3,3,0.102138795,-1,
565,97329,5,10,0.439456321,-1,
566,85047,2,1,0.054004865,-1,
567,126013,5,7,0.512498272,-1.144122571,
568,85055,3,3,0.102138795,-1,
569,126014,4,6,0.282164708,-1,
570,99395,16,115,0.012820697,-1,
571,99394,16,115,0.012820697,-1,
572,89156,7,21,0.665156882,-1,
573,99399,2,1,0.054004865,-1,
574,99403,9,36,0.798362646,-1,
575,117834,3,3,0.102138795,-1,
576,117837,2,1,0.054004865,-1,
577,117836,3,3,0.102138795,-1,
578,117851,7,18,0.0883833,-93924384.4,
579,117852,6,15,0.56610178,-1,
580,136287,3,3,0.102138795,-1,
581,121950,2,1,0.054004865,-1,
582,119904,3,3,0.102138795,-1,
583,124005,8,28,0.741248349,-1,
584,119916,2,1,0.054004865,-1,
585,70777,2,1,0.054004865,-1,
586,136315,7,21,0.665156882,-1,
587,119931,3,3,0.102138795,-1,
588,117882,3,3,0.102138795,-1,
589,121987,13,78,0.884117727,-1,
590,124041,4,6,0.282164708,-1,
591,74891,2,1,0.054004865,-1,
592,74890,2,1,0.054004865,-1,
593,126100,3,3,0.102138795,-1,
594,124055,12,66,0.881421305,-1,
595,136346,2,1,0.054004865,-1,
596,130201,6,15,0.56610178,-1,
597,117916,8,18,1.195824405,-1.238079886,
598,117919,8,18,1.195824405,-1.238079886,
599,126113,3,3,0.102138795,-1,
600,117920,4,6,0.282164708,-1,
601,91300,2,1,0.054004865,-1,
602,87209,5,10,0.439456321,-1,
603,72881,11,48,0.478703917,-0.967229769,
604,72883,10,42,0.441887337,-1.129791816,
605,117939,2,1,0.054004865,-1,
606,117940,3,2,0.33814894,-352182519.1,
607,87223,5,10,0.439456321,-1,
608,87224,5,10,0.439456321,-1,
609,113850,2,1,0.054004865,-1,
610,87226,5,10,0.439456321,-1,
611,126143,3,3,0.102138795,-1,
612,134338,7,19,0.260426949,-1,
613,138434,3,3,0.102138795,-1,
614,117952,6,15,0.56610178,-1,
615,103619,2,1,0.054004865,-1,
616,134342,5,9,0.149453179,-1,
617,128197,2,1,0.054004865,-1,
618,76996,8,28,0.741248349,-1,
619,134343,5,10,0.439456321,-1,
620,76998,8,28,0.741248349,-1,
621,111816,13,78,0.884117727,-1,
622,136392,3,3,0.102138795,-1,
623,134351,5,9,0.149453179,-1,
624,113871,4,6,0.282164708,-1,
625,122065,5,10,0.439456321,-1,
626,124115,2,1,0.054004865,-1,
627,124116,2,1,0.054004865,-1,
628,120027,2,1,0.054004865,-1,
629,120026,2,1,0.054004865,-1,
630,81116,2,1,0.054004865,-1,
631,115934,2,1,0.054004865,-1,
632,93406,2,1,0.054004865,-1,
633,128222,11,55,0.866749009,-1.018224383,
634,130272,6,15,0.56610178,-1,
635,83172,3,3,0.102138795,-1,
636,122087,2,1,0.054004865,-1,
637,95465,11,48,0.478703917,-0.967229769,
638,91369,8,28,0.741248349,-1,
639,122088,2,1,0.054004865,-1,
640,89322,2,1,0.054004865,-1,
641,126186,4,5,0.096707935,-475087477.3,
642,111855,55,1430,3.236464764,-1,
643,85231,2,1,0.054004865,-1,
644,111854,55,1430,3.236464764,-1,
645,111859,55,1430,3.236464764,-1,
646,111858,55,1430,3.236464764,-1,
647,128246,2,1,0.054004865,-1,
648,128252,2,1,0.054004865,-1,
649,97534,4,6,0.282164708,-1,
650,91399,4,6,0.282164708,-1,
651,85255,2,1,0.054004865,-1,
652,134404,5,10,0.439456321,-1,
653,134405,5,10,0.439456321,-1,
654,101650,8,28,0.741248349,-1,
655,126229,3,3,0.102138795,-1,
656,122135,2,1,0.054004865,-1,
657,126230,3,3,0.102138795,-1,
658,72985,2,1,0.054004865,-1,
659,103706,8,28,0.741248349,-1,
660,95516,2,1,0.054004865,-1,
661,118046,2,1,0.054004865,-1,
662,103715,8,28,0.741248349,-1,
663,103716,8,28,0.741248349,-1,
664,107815,13,64,1.099888589,-239935606.6,
665,120102,2,1,0.054004865,-1,
666,89385,6,14,0.343308637,-1,
667,118056,6,15,0.56610178,-1,
668,120106,2,1,0.054004865,-1,
669,73007,4,6,0.282164708,-1,
670,77103,2,1,0.054004865,-1,
671,134451,8,27,0.59353004,-157942672.8,
672,128310,8,28,0.741248349,-1,
673,120118,2,1,0.054004865,-1,
674,124216,6,14,0.343308637,-1,
675,132415,2,1,0.054004865,-1,
676,120127,2,1,0.054004865,-1,
677,134466,2,1,0.054004865,-1,
678,132416,3,3,0.102138795,-1,
679,132417,3,3,0.102138795,-1,
680,122178,11,50,0.046232169,-1.199354216,
681,122185,8,28,0.741248349,-1,
682,81226,2,1,0.054004865,-1,
683,124237,6,14,0.343308637,-1,
684,101708,2,1,0.054004865,-1,
685,118104,3,3,0.102138795,-1,
686,77147,3,3,0.102138795,-1,
687,77146,3,3,0.102138795,-1,
688,77149,3,3,0.102138795,-1,
689,111964,5,9,0.149453179,-1,
690,109918,15,95,0.781787512,-1,
691,91489,20,190,0.297046928,-1,
692,118115,3,3,0.102138795,-1,
693,118114,3,3,0.102138795,-1,
694,118116,3,3,0.102138795,-1,
695,126311,5,10,0.439456321,-1,
696,91499,20,190,0.297046928,-1,
697,118122,2,1,0.054004865,-1,
698,130413,2,1,0.054004865,-1,
699,89453,14,75,1.202434918,-1.002455559,
700,71027,2,1,0.054004865,-1,
701,89461,2,1,0.054004865,-1,
702,118135,4,6,0.282164708,-1,
703,89463,2,1,0.054004865,-1,
704,134517,4,6,0.282164708,-1,
705,114041,2,1,0.054004865,-1,
706,124280,6,11,0.547763421,-337712222.7,
707,118136,2,1,0.054004865,-1,
708,134521,5,9,0.149453179,-1,
709,89469,8,22,0.611974679,-309680358.6,
710,71036,4,4,0.457764732,-1,
711,124284,6,11,0.547763421,-337712222.7,
712,122243,7,21,0.665156882,-1,
713,128387,3,3,0.102138795,-1,
714,128386,3,3,0.102138795,-1,
715,126341,2,1,0.054004865,-1,
716,81284,4,6,0.282164708,-1,
717,128388,3,3,0.102138795,-1,
718,124297,4,6,0.282164708,-1,
719,93588,2,1,0.054004865,-1,
720,136597,3,3,0.102138795,-1,
721,120217,2,1,0.054004865,-1,
722,81310,2,1,0.054004865,-1,
723,118183,6,15,0.56610178,-1,
724,118182,6,15,0.56610178,-1,
725,118184,4,6,0.282164708,-1,
726,105898,2,1,0.054004865,-1,
727,87475,8,28,0.741248349,-1,
728,128435,2,1,0.054004865,-1,
729,134577,4,6,0.282164708,-1,
730,128437,6,15,0.56610178,-1,
731,101826,15,105,0.852239357,-0.966261794,
732,105924,2,1,0.054004865,-1,
733,120263,2,1,0.054004865,-1,
734,71113,8,20,0.911945696,-1.035374129,
735,71116,5,10,0.439456321,-1,
736,120268,3,3,0.102138795,-1,
737,120271,3,3,0.102138795,-1,
738,107989,3,3,0.102138795,-1,
739,124381,16,114,0.296982369,-1,
740,124380,15,102,0.548278294,-1.040584436,
741,138719,2,1,0.054004865,-1,
742,124383,16,114,0.296982369,-1,
743,124382,15,102,0.548278294,-1.040584436,
744,75235,7,21,0.665156882,-1,
745,138727,2,1,0.054004865,-1,
746,95726,9,33,0.333053964,-1.217739922,
747,118259,6,14,0.343308637,-1,
748,124404,2,1,0.054004865,-1,
749,118260,6,14,0.343308637,-1,
750,124408,3,3,0.102138795,-1,
751,95739,2,1,0.054004865,-1,
752,91643,2,1,0.054004865,-1,
753,124413,2,1,0.054004865,-1,
754,71165,2,1,0.054004865,-1,
755,71164,2,1,0.054004865,-1,
756,79366,8,28,0.741248349,-1,
757,103950,3,3,0.102138795,-1,
758,124430,2,1,0.054004865,-1,
759,97811,2,1,0.054004865,-1,
760,118293,3,3,0.102138795,-1,
761,118295,3,3,0.102138795,-1,
762,120347,2,1,0.054004865,-1,
763,138776,2,1,0.054004865,-1,
764,101920,7,21,0.665156882,-1,
765,93732,4,4,0.457764732,-1,
766,93734,2,1,0.054004865,-1,
767,136745,47,1079,2.680905655,-1.413759718,
768,136755,47,1079,2.680905655,-1.413759718,
769,120371,11,45,0.853597398,-2.278004414,
770,118329,6,15,0.56610178,-1,
771,120376,2,1,0.054004865,-1,
772,103995,9,36,0.798362646,-1,
773,120378,11,45,0.853597398,-2.278004414,
774,118330,6,14,0.343308637,-1,
